cpg,gene,chromosome,f_type
cg01364674,Intergenic,chr1,Open_Sea
cg01365639,Intergenic,chr10,N_Shore
cg01368430,Intergenic,chr7,Open_Sea
cg01369033,Intergenic,chr4,N_Shore
cg01388847,Intergenic,chr16,S_Shore
cg01400671,Intergenic,chr9,Island
cg01403379,Intergenic,chr10,N_Shelf
cg01414572,Intergenic,chr12,N_Shelf
cg01424561,Intergenic,chr7,Open_Sea
cg01426169,Intergenic,chr8,N_Shelf
cg01442959,Intergenic,*,Open_Sea
cg01446350,Intergenic,chr16,S_Shelf
cg01477326,Intergenic,chr13,N_Shore
cg01487661,Intergenic,chr7,Island
cg01500055,Intergenic,chr17,Open_Sea
cg01519365,Intergenic,chr16,Island
cg01519508,Intergenic,chr16,Island
cg01537445,Intergenic,chr6,Open_Sea
cg01539133,Intergenic,chr19,Open_Sea
cg01551133,Intergenic,chr1,Open_Sea
cg01560556,Intergenic,chr3,Island
cg01572513,Intergenic,chr4,N_Shore
cg01577678,Intergenic,chr16,Island
cg01579299,Intergenic,chr8,Island
cg01581686,Intergenic,chr12,N_Shelf
cg01591915,Intergenic,chr16,N_Shelf
cg01603290,Intergenic,chr17,Island
cg01615424,Intergenic,chr15,Island
cg01624569,Intergenic,chr7,S_Shelf
cg01628509,Intergenic,chr20,S_Shelf
cg01642152,Intergenic,chr2,Open_Sea
cg01668008,Intergenic,chr8,Open_Sea
cg01676623,Intergenic,chr22,N_Shelf
cg01686177,Intergenic,chr7,Open_Sea
cg01693328,Intergenic,chr7,Open_Sea
cg01719663,Intergenic,chr4,Open_Sea
cg01724607,Intergenic,chr6,N_Shore
cg01737003,Intergenic,chr2,Open_Sea
cg01738522,Intergenic,chr4,Island
cg01781867,Intergenic,chr9,Island
cg01786382,Intergenic,chr5,N_Shore
cg01793068,Intergenic,chr2,Open_Sea
cg01801610,Intergenic,chr14,Open_Sea
cg01803844,Intergenic,chr17,Open_Sea
cg01806956,Intergenic,chr1,Open_Sea
cg01817019,Intergenic,chr1,S_Shore
cg01823161,Intergenic,chr5,Open_Sea
cg01842867,Intergenic,chr7,N_Shore
cg01852560,Intergenic,chrX,S_Shore
cg01856887,Intergenic,chr6,S_Shelf
cg01866606,Intergenic,chr2,Island
cg01878940,Intergenic,chr16,S_Shelf
cg01881524,Intergenic,chr5,Island
cg01882991,Intergenic,chr6,Open_Sea
cg01892620,Intergenic,chr7,Open_Sea
cg01899624,Intergenic,chr5,Open_Sea
cg01906944,Intergenic,chr20,N_Shore
cg01914059,Intergenic,chr16,N_Shore
cg01915081,Intergenic,*,Open_Sea
cg01927767,Intergenic,chr2,N_Shore
cg01928076,Intergenic,chr17,Island
cg01928231,Intergenic,chr6,Open_Sea
cg01976784,Intergenic,chr11,Island
cg01984854,Intergenic,chr16,Open_Sea
cg01993552,Intergenic,chr19,S_Shore
cg01995145,Intergenic,chr16,Open_Sea
cg01998047,Intergenic,chr13,Island
cg02008770,Intergenic,chr4,Open_Sea
cg02015741,Intergenic,chr5,Open_Sea
cg02023550,Intergenic,chr2,Island
cg02043895,Intergenic,*,Open_Sea
cg02058267,Intergenic,chr14,Island
cg02063165,Intergenic,*,Open_Sea
cg02067712,Intergenic,chr13,S_Shore
cg02072757,Intergenic,chr6,S_Shelf
cg02076629,Intergenic,chr7,N_Shore
cg02077472,Intergenic,chr1,Open_Sea
cg02097254,Intergenic,chr2,N_Shore
cg02109405,Intergenic,*,Open_Sea
cg02117535,Intergenic,chr11,Open_Sea
cg02147231,Intergenic,chr10,Open_Sea
cg02154269,Intergenic,*,Open_Sea
cg02166725,Intergenic,chr7,Open_Sea
cg02212811,Intergenic,chr6,S_Shelf
cg02216535,Intergenic,chr4,Open_Sea
cg02220129,Intergenic,chr11,Open_Sea
cg02222170,Intergenic,chr16,Open_Sea
cg02223135,Intergenic,chr3,Open_Sea
cg02239968,Intergenic,chr15,S_Shelf
cg02242004,Intergenic,chr8,N_Shore
cg02271227,Intergenic,chr10,Open_Sea
cg02273889,Intergenic,chr5,Open_Sea
cg02288819,Intergenic,chr16,Open_Sea
cg02297747,Intergenic,chr17,Open_Sea
cg02305765,Intergenic,chr12,N_Shore
cg02306162,Intergenic,chr3,S_Shelf
cg02307075,Intergenic,chr2,Open_Sea
cg02330371,Intergenic,chr15,Island
cg02338840,Intergenic,chr2,Open_Sea
cg02340220,Intergenic,chr6,Island
cg02342092,Intergenic,chr2,Island
cg02343197,Intergenic,chr3,N_Shore
cg02393684,Intergenic,chr1,N_Shelf
cg02395363,Intergenic,chr1,Open_Sea
cg02395590,Intergenic,chr5,Open_Sea
cg02397768,Intergenic,chr4,N_Shore
cg02407730,Intergenic,chr6,Open_Sea
cg02408252,Intergenic,chr11,Island
cg02412616,Intergenic,chr22,N_Shore
cg02432003,Intergenic,chr16,N_Shelf
cg02432280,Intergenic,chr7,Island
cg02440668,Intergenic,chr17,Island
cg02444695,Intergenic,chr6,Open_Sea
cg02446869,Intergenic,chr6,S_Shelf
cg02466801,Intergenic,chr2,N_Shore
cg02471897,Intergenic,chr7,Island
cg02472801,Intergenic,*,Open_Sea
cg02483487,Intergenic,chr8,N_Shore
cg02483735,Intergenic,chr1,Open_Sea
cg02486259,Intergenic,chr9,Island
cg02486904,Intergenic,chr1,Island
cg02506275,Intergenic,chr12,S_Shore
cg02517215,Intergenic,chr12,Island
cg02518338,Intergenic,chr17,S_Shore
cg02520399,Intergenic,chr8,Open_Sea
cg02522990,Intergenic,chr16,Open_Sea
cg02524336,Intergenic,chr5,Open_Sea
cg02533422,Intergenic,chr6,Island
cg02539682,Intergenic,chr12,S_Shore
cg02540440,Intergenic,chrX,Island
cg02545261,Intergenic,chr5,Open_Sea
cg02568619,Intergenic,chr1,S_Shore
cg02570888,Intergenic,chr1,N_Shore
cg02577788,Intergenic,chr10,S_Shelf
cg02586025,Intergenic,chr5,Open_Sea
cg02592348,Intergenic,chr10,Open_Sea
cg02607319,Intergenic,chr7,Island
cg02612397,Intergenic,chr6,Open_Sea
cg02617791,Intergenic,chr10,Open_Sea
cg02629791,Intergenic,chr13,Open_Sea
cg02639108,Intergenic,chr2,Island
cg02639540,Intergenic,chr4,S_Shore
cg02641801,Intergenic,chr2,Open_Sea
cg02645287,Intergenic,chr16,N_Shelf
cg02667756,Intergenic,*,Open_Sea
cg02675546,Intergenic,chr8,Open_Sea
cg02686091,Intergenic,*,Open_Sea
cg02686793,Intergenic,chr6,Open_Sea
cg02692938,Intergenic,chr8,Open_Sea
cg02695906,Intergenic,chr3,Open_Sea
cg02707552,Intergenic,*,Open_Sea
cg02710552,Intergenic,chr15,Island
cg02717150,Intergenic,chr12,Island
cg02726930,Intergenic,chr12,Open_Sea
cg02747412,Intergenic,chr17,Open_Sea
cg02769522,Intergenic,chr3,Open_Sea
cg02775243,Intergenic,chr10,S_Shelf
cg02778237,Intergenic,chr6,N_Shore
cg02803141,Intergenic,chr16,S_Shelf
cg02806675,Intergenic,chr3,Open_Sea
cg02817030,Intergenic,chr7,S_Shelf
cg02824873,Intergenic,chr1,N_Shore
cg02839950,Intergenic,chr4,N_Shore
cg02844866,Intergenic,chr2,Open_Sea
cg02850273,Intergenic,chr6,Open_Sea
cg02854928,Intergenic,chr12,Open_Sea
cg02864844,Intergenic,chr7,Island
cg02906741,Intergenic,chr3,Open_Sea
cg02913309,Intergenic,chr1,Open_Sea
cg02919122,Intergenic,chr3,Open_Sea
cg02947125,Intergenic,chr14,Open_Sea
cg02964287,Intergenic,chr16,N_Shelf
cg02968537,Intergenic,chr16,Open_Sea
cg02978140,Intergenic,chr1,N_Shore
cg02986266,Intergenic,chr7,S_Shelf
cg02993094,Intergenic,chr16,Open_Sea
cg02994025,Intergenic,chr1,Open_Sea
cg02994187,Intergenic,chr6,Island
cg03004198,Intergenic,chr14,Island
cg03014589,Intergenic,chr8,N_Shore
cg03032714,Intergenic,chr4,Open_Sea
cg03047813,Intergenic,chr4,S_Shore
cg03054026,Intergenic,chr2,S_Shore
cg03099780,Intergenic,chr13,Open_Sea
cg03103661,Intergenic,chr11,Open_Sea
cg03120147,Intergenic,chr13,Island
cg03147051,Intergenic,chr2,S_Shelf
cg03197032,Intergenic,chr15,Open_Sea
cg03211527,Intergenic,chr5,Open_Sea
cg03213505,Intergenic,chr9,Island
cg03217471,Intergenic,chr6,Open_Sea
cg03220124,Intergenic,chr17,Open_Sea
cg03222176,Intergenic,chr1,Open_Sea
cg03235290,Intergenic,chr7,Island
cg03259292,Intergenic,chr10,S_Shore
cg03262554,Intergenic,chr9,Island
cg03263123,Intergenic,chr2,Open_Sea
cg03264601,Intergenic,chr20,Island
cg03276149,Intergenic,chr6,Open_Sea
cg03281309,Intergenic,chr4,Open_Sea
cg03283080,Intergenic,chr6,N_Shore
cg03298015,Intergenic,chr15,N_Shore
cg03301358,Intergenic,chr7,S_Shore
cg03303355,Intergenic,chr15,Island
cg03313075,Intergenic,chr13,Open_Sea
cg03317451,Intergenic,chr5,N_Shelf
cg03322161,Intergenic,chr6,Island
cg03326606,Intergenic,chr20,N_Shore
cg03344693,Intergenic,chr1,Island
cg03355909,Intergenic,chr3,Island
cg03356115,Intergenic,chr16,Island
cg03364620,Intergenic,chr7,S_Shore
cg03372174,Intergenic,chr13,Open_Sea
cg03376871,Intergenic,chr16,N_Shore
cg03388172,Intergenic,chr22,Island
cg03390905,Intergenic,chr3,Open_Sea
cg03392960,Intergenic,chr8,N_Shore
cg03399963,Intergenic,chr6,Island
cg03400421,Intergenic,chr10,N_Shore
cg03443986,Intergenic,chr2,Open_Sea
cg03444855,Intergenic,chr2,Island
cg03466428,Intergenic,chr4,Open_Sea
cg03468072,Intergenic,chr12,Island
cg03468466,Intergenic,chr3,Island
cg03495340,Intergenic,chr14,Island
cg03499361,Intergenic,chr13,Open_Sea
cg03501539,Intergenic,chr11,Open_Sea
cg03543861,Intergenic,chr21,Island
cg03562770,Intergenic,chr12,Island
cg03570232,Intergenic,chr17,Open_Sea
cg03576411,Intergenic,chr14,Open_Sea
cg03584199,Intergenic,chr1,Open_Sea
cg03588615,Intergenic,chr10,Open_Sea
cg03591582,Intergenic,chr20,S_Shelf
cg03595533,Intergenic,chr6,S_Shelf
cg03601754,Intergenic,chr6,N_Shore
cg03605066,Intergenic,chr5,Open_Sea
cg03607644,Intergenic,chr8,Open_Sea
cg03611039,Intergenic,chr8,Open_Sea
cg03622263,Intergenic,chr9,N_Shore
cg03631864,Intergenic,chr7,Island
cg03637815,Intergenic,chr13,Island
cg03645061,Intergenic,chr20,Island
cg03653817,Intergenic,chr1,Open_Sea
cg03654668,Intergenic,chr10,Open_Sea
cg03661567,Intergenic,chr16,Open_Sea
cg03665212,Intergenic,chr2,Open_Sea
cg03669282,Intergenic,chr1,Island
cg03671075,Intergenic,chr4,Open_Sea
cg03682421,Intergenic,chr19,Island
cg03691144,Intergenic,chr13,Island
cg03694738,Intergenic,chr2,S_Shelf
cg03702533,Intergenic,chr15,Open_Sea
cg03712442,Intergenic,chr4,Open_Sea
cg03713823,Intergenic,chr7,Open_Sea
cg03723907,Intergenic,chr5,Open_Sea
cg03741862,Intergenic,chr17,Open_Sea
cg03746482,Intergenic,chr10,Island
cg03776082,Intergenic,chr2,Open_Sea
cg03782771,Intergenic,chr4,Open_Sea
cg03794679,Intergenic,chr2,Open_Sea
cg03796381,Intergenic,chr15,Open_Sea
cg03799378,Intergenic,chr10,N_Shelf
cg03799405,Intergenic,chr4,S_Shore
cg03819227,Intergenic,chr5,Open_Sea
cg03848127,Intergenic,chr5,Open_Sea
cg03855857,Intergenic,chr1,Open_Sea
cg03875819,Intergenic,chr10,Open_Sea
cg03891268,Intergenic,chr3,Open_Sea
cg03895047,Intergenic,chr3,Open_Sea
cg03916189,Intergenic,chr9,Island
cg03923285,Intergenic,chr16,S_Shore
cg03932441,Intergenic,chr10,Island
cg03933026,Intergenic,chr11,Open_Sea
cg03933321,Intergenic,*,Open_Sea
cg03935055,Intergenic,chr3,Island
cg03943887,Intergenic,chr4,Island
cg03969305,Intergenic,chr6,Island
cg03969316,Intergenic,chr2,Island
cg03975834,Intergenic,chr4,N_Shore
cg03984750,Intergenic,*,Open_Sea
cg03988297,Intergenic,chr1,Open_Sea
cg03991547,Intergenic,chr13,N_Shelf
cg03999934,Intergenic,chr6,Open_Sea
cg03999941,Intergenic,chr5,N_Shore
cg04002298,Intergenic,chr3,S_Shore
cg04010817,Intergenic,chr16,Open_Sea
cg04016485,Intergenic,chr12,Open_Sea
cg04026492,Intergenic,chr9,Island
cg04031757,Intergenic,chr6,Open_Sea
cg04065472,Intergenic,chr2,N_Shore
cg04072135,Intergenic,chr5,Open_Sea
cg04078410,Intergenic,chr5,S_Shore
cg04079215,Intergenic,chr1,Open_Sea
cg04106636,Intergenic,chr1,Open_Sea
cg04112022,Intergenic,chr13,Open_Sea
cg04121261,Intergenic,chr18,Island
cg04123385,Intergenic,chr20,N_Shore
cg04127867,Intergenic,chr7,Open_Sea
cg04156995,Intergenic,chr11,Open_Sea
cg04169483,Intergenic,chr8,N_Shore
cg04173154,Intergenic,chr16,Open_Sea
cg04181528,Intergenic,chr15,Island
cg04194073,Intergenic,chr22,Island
cg04194272,Intergenic,chr20,S_Shelf
cg04197086,Intergenic,chr13,N_Shore
cg04223671,Intergenic,chr1,Island
cg04230073,Intergenic,chr11,N_Shore
cg04234429,Intergenic,chr17,Open_Sea
cg04252915,Intergenic,chr2,N_Shore
cg04254769,Intergenic,chr5,Open_Sea
cg04270401,Intergenic,chr10,N_Shore
cg04275027,Intergenic,chr1,Island
cg04285549,Intergenic,chr14,Open_Sea
cg04293902,Intergenic,chr10,Island
cg04305399,Intergenic,chr17,Island
cg04309911,Intergenic,chr6,N_Shore
cg04314986,Intergenic,chr13,N_Shore
cg04319659,Intergenic,chr6,Island
cg04324821,Intergenic,chr2,Open_Sea
cg04345751,Intergenic,chr1,Open_Sea
cg04352304,Intergenic,chr10,S_Shore
cg04355439,Intergenic,chr19,Island
cg04398171,Intergenic,chr2,Open_Sea
cg04430775,Intergenic,chr7,S_Shelf
cg04441815,Intergenic,chr8,N_Shore
cg04443690,Intergenic,chr6,Open_Sea
cg04451448,Intergenic,chr4,S_Shelf
cg04452437,Intergenic,chr6,Open_Sea
cg04453371,Intergenic,chr10,Open_Sea
cg04455058,Intergenic,chr9,Island
cg04465730,Intergenic,chr17,Open_Sea
cg04476927,Intergenic,chr10,Island
cg04478698,Intergenic,chr4,S_Shelf
cg04479464,Intergenic,chr12,Open_Sea
cg04486019,Intergenic,chr6,Open_Sea
cg04495287,Intergenic,chr17,Island
cg04496485,Intergenic,*,Open_Sea
cg04505845,Intergenic,chr6,Open_Sea
cg04507495,Intergenic,chr3,Open_Sea
cg04508804,Intergenic,chr3,S_Shore
cg04510853,Intergenic,chr17,S_Shelf
cg04518066,Intergenic,chr6,Open_Sea
cg04543901,Intergenic,chr17,Open_Sea
cg04569837,Intergenic,chr5,Island
cg04570149,Intergenic,chr6,N_Shore
cg04585612,Intergenic,chr16,Island
cg04603818,Intergenic,chr17,Open_Sea
cg04612608,Intergenic,chr16,Open_Sea
cg04616155,Intergenic,chr2,Open_Sea
cg04623371,Intergenic,chr6,S_Shelf
cg04633721,Intergenic,chr6,Open_Sea
cg04640972,Intergenic,chr10,Open_Sea
cg04647982,Intergenic,*,Open_Sea
cg04661629,Intergenic,chr1,Island
cg04664309,Intergenic,chr6,Open_Sea
cg04673565,Intergenic,chr6,Open_Sea
cg04704449,Intergenic,chr6,N_Shore
cg04707863,Intergenic,chr7,Island
cg04714787,Intergenic,chr4,S_Shelf
cg04725637,Intergenic,chr1,Open_Sea
cg04737283,Intergenic,chr3,N_Shore
cg04742515,Intergenic,chr2,Open_Sea
cg04742587,Intergenic,chr17,N_Shelf
cg04743876,Intergenic,chr7,Open_Sea
cg04759227,Intergenic,chr8,N_Shore
cg04765483,Intergenic,chr11,Open_Sea
cg04766061,Intergenic,chr17,N_Shelf
cg04789475,Intergenic,chr4,Open_Sea
cg04792034,Intergenic,chr12,S_Shelf
cg04796828,Intergenic,chr8,Open_Sea
cg04799722,Intergenic,chr12,Open_Sea
cg04817238,Intergenic,chr17,N_Shore
cg04828580,Intergenic,chr10,Open_Sea
cg04841371,Intergenic,chr1,Open_Sea
cg04851169,Intergenic,chr5,Island
cg04865491,Intergenic,chr20,Island
cg04870483,Intergenic,chr16,S_Shelf
cg04872675,Intergenic,chr12,N_Shelf
cg04872947,Intergenic,chr1,Open_Sea
cg04876905,Intergenic,chr12,Open_Sea
cg04878869,Intergenic,chr12,Island
cg04903159,Intergenic,chr6,Open_Sea
cg04919563,Intergenic,chr7,Island
cg04921533,Intergenic,chr14,Open_Sea
cg04928049,Intergenic,chr1,Island
cg04931126,Intergenic,chr3,Open_Sea
cg04936725,Intergenic,chr12,Open_Sea
cg04960258,Intergenic,chr6,N_Shore
cg04960964,Intergenic,chrX,Island
cg04999860,Intergenic,chr15,Open_Sea
cg05001334,Intergenic,chr13,Open_Sea
cg05001948,Intergenic,chr1,S_Shelf
cg05010113,Intergenic,chr10,Open_Sea
cg05016066,Intergenic,chr16,Open_Sea
cg05040441,Intergenic,chr1,Island
cg05045130,Intergenic,chr10,Island
cg05062653,Intergenic,*,Open_Sea
cg05063895,Intergenic,chr16,S_Shelf
cg05068340,Intergenic,chr6,S_Shelf
cg05080615,Intergenic,chr13,Open_Sea
cg05086798,Intergenic,chrX,Island
cg05133437,Intergenic,chr15,N_Shelf
cg05135729,Intergenic,chrX,Island
cg05137466,Intergenic,chr9,Island
cg05146544,Intergenic,chr2,Open_Sea
cg05146888,Intergenic,chr6,N_Shore
cg05162358,Intergenic,chr10,Open_Sea
cg05170040,Intergenic,chr2,Open_Sea
cg05191217,Intergenic,chr5,Island
cg05191264,Intergenic,chr8,Open_Sea
cg05191313,Intergenic,chr5,Open_Sea
cg05194636,Intergenic,chr11,Open_Sea
cg05208605,Intergenic,chr11,N_Shore
cg05210380,Intergenic,chr6,Open_Sea
cg05263382,Intergenic,chr1,Open_Sea
cg05264189,Intergenic,chr10,S_Shore
cg05277407,Intergenic,chr16,N_Shore
cg05291282,Intergenic,chr14,Open_Sea
cg05292404,Intergenic,chr10,Open_Sea
cg05302338,Intergenic,chr11,Island
cg05303057,Intergenic,chr17,Open_Sea
cg05310260,Intergenic,chr7,Open_Sea
cg05314799,Intergenic,chr3,Open_Sea
cg05317038,Intergenic,chr6,Open_Sea
cg05317600,Intergenic,chr13,Open_Sea
cg05326140,Intergenic,chr4,Open_Sea
cg05336956,Intergenic,chr1,N_Shore
cg05350800,Intergenic,chr1,Open_Sea
cg05358397,Intergenic,chr10,N_Shelf
cg05383531,Intergenic,chr3,Open_Sea
cg05385331,Intergenic,chr1,N_Shelf
cg05388880,Intergenic,chr4,Open_Sea
cg05392844,Intergenic,chr2,Open_Sea
cg05414338,Intergenic,chr6,N_Shore
cg05422883,Intergenic,chr2,Open_Sea
cg05466385,Intergenic,chr6,S_Shelf
cg05490864,Intergenic,chr2,Open_Sea
cg05499736,Intergenic,chr3,Open_Sea
cg05504045,Intergenic,chr16,Open_Sea
cg05507490,Intergenic,chr2,Island
cg05507607,Intergenic,chr16,S_Shore
cg05547777,Intergenic,chr5,N_Shore
cg05554906,Intergenic,chr8,N_Shore
cg05573381,Intergenic,chr5,N_Shore
cg05582440,Intergenic,*,Open_Sea
cg05586304,Intergenic,*,Open_Sea
cg05593667,Intergenic,chr6,Open_Sea
cg05601917,Intergenic,chr6,Open_Sea
cg05617551,Intergenic,chr16,Open_Sea
cg05629317,Intergenic,chr16,S_Shore
cg05635730,Intergenic,chr3,Open_Sea
cg05635807,Intergenic,chr8,Island
cg05643494,Intergenic,chr9,Island
cg05656360,Intergenic,chr2,N_Shore
cg05662664,Intergenic,chr2,Open_Sea
