cpg,gene,chromosome,f_type
cg00078857,Intergenic,chr8,N_Shore
cg00080252,Intergenic,chr8,N_Shore
cg00081465,Intergenic,chr18,N_Shelf
cg00081919,Intergenic,chr2,Open_Sea
cg00082912,Intergenic,chr17,Open_Sea
cg00083046,Intergenic,chr2,Island
cg00084019,Intergenic,chr7,N_Shore
cg00084604,Intergenic,chr6,Open_Sea
cg00084798,Intergenic,chr8,Island
cg00085790,Intergenic,chr1,Open_Sea
cg00087244,Intergenic,chr7,Open_Sea
cg00088183,Intergenic,chr1,Island
cg00088844,Intergenic,chr12,Open_Sea
cg00089528,Intergenic,chr5,N_Shore
cg00089814,Intergenic,chr3,Open_Sea
cg00089823,Intergenic,chr5,S_Shore
cg00090452,Intergenic,chr12,Open_Sea
cg00090521,Intergenic,chr15,Open_Sea
cg00091064,Intergenic,chr6,Island
cg00093433,Intergenic,chr16,N_Shore
cg00093688,Intergenic,chr9,S_Shore
cg00094744,Intergenic,chr2,N_Shelf
cg00095165,Intergenic,chr18,Island
cg00095326,Intergenic,chr1,Open_Sea
cg00095431,Intergenic,chr2,Open_Sea
cg00095629,Intergenic,chr6,N_Shore
cg00095859,Intergenic,chr7,N_Shore
cg00096536,Intergenic,chr4,N_Shore
cg00097225,Intergenic,chr10,N_Shore
cg00097790,Intergenic,*,Open_Sea
cg00098029,Intergenic,chr4,Island
cg00098144,Intergenic,chr4,Island
cg00098336,Intergenic,chr1,S_Shelf
cg00098819,Intergenic,chr6,S_Shelf
cg00100012,Intergenic,chr20,Island
cg00101940,Intergenic,chr16,Open_Sea
cg00102512,Intergenic,chr2,Island
cg00104167,Intergenic,chr16,Open_Sea
cg00105475,Intergenic,chr2,Open_Sea
cg00107490,Intergenic,chr22,N_Shore
cg00107606,Intergenic,chr2,S_Shore
cg00107682,Intergenic,chr15,Island
cg00107772,Intergenic,chr14,Island
cg00108282,Intergenic,chr7,Open_Sea
cg00108349,Intergenic,chr13,Island
cg00109302,Intergenic,chr3,Open_Sea
cg00109703,Intergenic,chr20,S_Shore
cg00110654,Intergenic,chr6,Island
cg00111629,Intergenic,chr5,S_Shore
cg00111826,Intergenic,chr5,Open_Sea
cg00112314,Intergenic,chr10,Island
cg00116092,Intergenic,chr1,S_Shore
cg00118542,Intergenic,chr7,Open_Sea
cg00119034,Intergenic,chr4,N_Shelf
cg00119127,Intergenic,chr7,N_Shore
cg00123762,Intergenic,chr6,S_Shore
cg00125601,Intergenic,chr5,Open_Sea
cg00127353,Intergenic,chr6,Open_Sea
cg00127505,Intergenic,chr10,Island
cg00128430,Intergenic,chr18,N_Shelf
cg00128718,Intergenic,chr13,Open_Sea
cg00130707,Intergenic,chr16,Open_Sea
cg00131983,Intergenic,chr4,Island
cg00132782,Intergenic,chr10,N_Shelf
cg00134645,Intergenic,chr5,N_Shore
cg00145732,Intergenic,chr16,Open_Sea
cg00145915,Intergenic,chr1,Open_Sea
cg00147244,Intergenic,chr17,N_Shore
cg00147850,Intergenic,*,Open_Sea
cg00148223,Intergenic,chr5,N_Shore
cg00149684,Intergenic,chr1,N_Shore
cg00149716,Intergenic,chr20,N_Shore
cg00151048,Intergenic,chr1,Open_Sea
cg00151124,Intergenic,chr15,Open_Sea
cg00151709,Intergenic,chr1,Island
cg00152946,Intergenic,chr10,Island
cg00153041,Intergenic,*,Open_Sea
cg00153106,Intergenic,chr5,Island
cg00157199,Intergenic,*,Open_Sea
cg00157223,Intergenic,chr6,S_Shelf
cg00158454,Intergenic,chrX,Island
cg00158528,Intergenic,chr7,Island
cg00159780,Intergenic,*,Open_Sea
cg00159987,Intergenic,chr7,Open_Sea
cg00160183,Intergenic,chr13,Island
cg00160478,Intergenic,chr2,Open_Sea
cg00162611,Intergenic,chr16,N_Shore
cg00163089,Intergenic,chr1,Open_Sea
cg00164941,Intergenic,chr2,S_Shelf
cg00168032,Intergenic,chr4,Open_Sea
cg00169354,Intergenic,chr20,S_Shelf
cg00169725,Intergenic,chr5,Island
cg00169776,Intergenic,chr1,Open_Sea
cg00169897,Intergenic,chr16,Open_Sea
cg00170242,Intergenic,chr10,Open_Sea
cg00170369,Intergenic,chrX,N_Shore
cg00171578,Intergenic,chr1,Island
cg00173659,Intergenic,chr7,Island
cg00174201,Intergenic,chr7,Island
cg00174573,Intergenic,chr12,Open_Sea
cg00174718,Intergenic,chr6,Open_Sea
cg00175823,Intergenic,chr12,S_Shore
cg00176584,Intergenic,chr8,Island
cg00177787,Intergenic,chr10,Open_Sea
cg00178224,Intergenic,*,Open_Sea
cg00178897,Intergenic,chr2,Island
cg00179940,Intergenic,chr12,Open_Sea
cg00180684,Intergenic,chr6,Open_Sea
cg00181834,Intergenic,chr10,Island
cg00182256,Intergenic,chr22,Island
cg00182893,Intergenic,chr6,Open_Sea
cg00183639,Intergenic,chr20,N_Shore
cg00186207,Intergenic,chr2,Open_Sea
cg00186529,Intergenic,chr6,Island
cg00187120,Intergenic,chr7,N_Shore
cg00187981,Intergenic,chr8,Island
cg00192220,Intergenic,chr16,Open_Sea
cg00192819,Intergenic,chr18,Island
cg00198680,Intergenic,chr16,Island
cg00199399,Intergenic,chr8,Open_Sea
cg00200734,Intergenic,chr9,Island
cg00200755,Intergenic,chr15,Open_Sea
cg00203124,Intergenic,chr5,S_Shore
cg00203284,Intergenic,chr1,Island
cg00203915,Intergenic,chr7,N_Shore
cg00204512,Intergenic,chr16,S_Shelf
cg00206356,Intergenic,chr4,Island
cg00206779,Intergenic,chr8,N_Shore
cg00207921,Intergenic,chr1,Island
cg00209037,Intergenic,chr22,S_Shelf
cg00209786,Intergenic,chr20,N_Shore
cg00210271,Intergenic,chr12,N_Shore
cg00212786,Intergenic,chr2,N_Shore
cg00213052,Intergenic,chr18,Island
cg00214395,Intergenic,chr3,Open_Sea
cg00214856,Intergenic,chr11,Open_Sea
cg00215133,Intergenic,chr18,Island
cg00215611,Intergenic,chr2,N_Shore
cg00217080,Intergenic,chr2,Island
cg00218409,Intergenic,chr2,Open_Sea
cg00219321,Intergenic,chr5,Open_Sea
cg00220294,Intergenic,chr16,Island
cg00221382,Intergenic,chr16,Island
cg00221650,Intergenic,chr2,Open_Sea
cg00221718,Intergenic,chr3,Open_Sea
cg00223136,Intergenic,chr5,S_Shelf
cg00228118,Intergenic,chr9,N_Shore
cg00228708,Intergenic,chr10,N_Shore
cg00229754,Intergenic,chr15,Island
cg00230924,Intergenic,chr12,N_Shelf
cg00231085,Intergenic,chr5,S_Shelf
cg00232402,Intergenic,chr18,N_Shore
cg00236601,Intergenic,chr19,Open_Sea
cg00237631,Intergenic,chr7,Island
cg00239563,Intergenic,chr4,N_Shore
cg00239657,Intergenic,chr5,Open_Sea
cg00241076,Intergenic,chr16,N_Shore
cg00242325,Intergenic,chr10,Open_Sea
cg00243854,Intergenic,chr18,N_Shelf
cg00244642,Intergenic,chr6,Island
cg00249614,Intergenic,chr1,Open_Sea
cg00251358,Intergenic,chr5,Open_Sea
cg00252442,Intergenic,chr1,S_Shore
cg00253185,Intergenic,chr1,Open_Sea
cg00253658,Intergenic,chr16,Open_Sea
cg00254306,Intergenic,chr12,Island
cg00254378,Intergenic,chr5,Open_Sea
cg00254524,Intergenic,*,Open_Sea
cg00257455,Intergenic,chr1,N_Shore
cg00258136,Intergenic,chr8,Open_Sea
cg00258316,Intergenic,chr1,Open_Sea
cg00259234,Intergenic,chr17,N_Shore
cg00259871,Intergenic,chr2,N_Shore
cg00260512,Intergenic,chr11,N_Shelf
cg00260802,Intergenic,chr20,Island
cg00262132,Intergenic,chr4,N_Shore
cg00266983,Intergenic,chr7,Island
cg00267839,Intergenic,chr8,N_Shelf
cg00272446,Intergenic,chr1,Island
cg00272971,Intergenic,chr10,Island
cg00275126,Intergenic,chr5,Open_Sea
cg00278494,Intergenic,chr4,S_Shore
cg00280895,Intergenic,chr2,N_Shore
cg00282510,Intergenic,chr9,Island
cg00289362,Intergenic,chr6,Open_Sea
cg00290023,Intergenic,chr5,Open_Sea
cg00291837,Intergenic,chr1,N_Shore
cg00292701,Intergenic,chr4,Island
cg00293060,Intergenic,chr12,Open_Sea
cg00294261,Intergenic,chr5,Open_Sea
cg00295794,Intergenic,chr13,Island
cg00296005,Intergenic,chr6,N_Shore
cg00296182,Intergenic,chr10,N_Shore
cg00297075,Intergenic,chr9,N_Shore
cg00297721,Intergenic,chr20,Island
cg00297741,Intergenic,chr10,Open_Sea
cg00298919,Intergenic,chr16,Open_Sea
cg00300808,Intergenic,chr2,N_Shore
cg00301660,Intergenic,chr8,Island
cg00301762,Intergenic,chr7,S_Shelf
cg00302979,Intergenic,chr4,Open_Sea
cg00303335,Intergenic,chr7,N_Shore
cg00303606,Intergenic,chr9,N_Shore
cg00305281,Intergenic,chr22,Island
cg00305947,Intergenic,chr18,N_Shore
cg00308594,Intergenic,chr2,Open_Sea
cg00310375,Intergenic,chr2,Open_Sea
cg00312508,Intergenic,chr10,N_Shore
cg00313297,Intergenic,chr8,Open_Sea
cg00314115,Intergenic,chr2,Island
cg00316222,Intergenic,chr6,S_Shore
cg00316800,Intergenic,chr2,Open_Sea
cg00319026,Intergenic,chr16,S_Shelf
cg00319661,Intergenic,chr5,Open_Sea
cg00320597,Intergenic,chr8,N_Shore
cg00320980,Intergenic,chr10,S_Shelf
cg00321824,Intergenic,chr6,Open_Sea
cg00324748,Intergenic,chr10,Open_Sea
cg00329656,Intergenic,chr1,S_Shelf
cg00330492,Intergenic,chr15,Island
cg00332937,Intergenic,chr5,Island
cg00333483,Intergenic,chr17,Island
cg00333512,Intergenic,chr8,Island
cg00333679,Intergenic,chr6,Open_Sea
cg00333946,Intergenic,chr15,Open_Sea
cg00334177,Intergenic,chr6,Open_Sea
cg00336150,Intergenic,chr2,N_Shore
cg00340024,Intergenic,chr1,Open_Sea
cg00345443,Intergenic,chr3,Island
cg00346074,Intergenic,chr10,Open_Sea
cg00347677,Intergenic,chr1,Island
cg00348222,Intergenic,chr16,Open_Sea
cg00348467,Intergenic,chr17,Island
cg00350931,Intergenic,chr4,Island
cg00352576,Intergenic,chr9,N_Shore
cg00355699,Intergenic,chr13,Open_Sea
cg00355829,Intergenic,chr3,N_Shore
cg00356131,Intergenic,chr5,N_Shore
cg00356208,Intergenic,chr16,Open_Sea
cg00356875,Intergenic,chr2,Open_Sea
cg00358023,Intergenic,chr7,S_Shore
cg00359635,Intergenic,chr10,Open_Sea
cg00360474,Intergenic,chr6,S_Shore
cg00360761,Intergenic,chr2,Island
cg00360798,Intergenic,chr7,S_Shelf
cg00362657,Intergenic,*,Open_Sea
cg00366103,Intergenic,chr7,N_Shore
cg00367424,Intergenic,chr11,Island
cg00368636,Intergenic,chr7,Island
cg00368687,Intergenic,chr13,N_Shore
cg00368844,Intergenic,*,Open_Sea
cg00369811,Intergenic,chr6,Island
cg00370968,Intergenic,chr1,Open_Sea
cg00374016,Intergenic,chr15,Open_Sea
cg00377320,Intergenic,chr17,Island
cg00377924,Intergenic,chr3,Open_Sea
cg00378313,Intergenic,chr13,Open_Sea
cg00382919,Intergenic,chr12,Open_Sea
cg00383763,Intergenic,chr1,S_Shelf
cg00384210,Intergenic,chr12,Island
cg00386586,Intergenic,chr13,S_Shelf
cg00387621,Intergenic,chr1,S_Shelf
cg00388195,Intergenic,chr7,S_Shore
cg00388471,Intergenic,chr16,N_Shelf
cg00388754,Intergenic,chr8,Open_Sea
cg00398764,Intergenic,chr15,N_Shore
cg00400448,Intergenic,chr15,N_Shore
cg00400532,Intergenic,chr15,N_Shelf
cg00404838,Intergenic,chr10,Island
cg00406010,Intergenic,chr8,Open_Sea
cg00406319,Intergenic,chr10,Island
cg00408021,Intergenic,chr7,N_Shore
cg00409684,Intergenic,chr10,Island
cg00409861,Intergenic,chr5,Open_Sea
cg00410719,Intergenic,chr16,N_Shelf
cg00412749,Intergenic,chr6,Island
cg00414093,Intergenic,chr16,Island
cg00416945,Intergenic,chr16,Island
cg00417323,Intergenic,chr18,S_Shelf
cg00418071,Intergenic,chr1,Open_Sea
cg00419604,Intergenic,chr2,N_Shore
cg00419822,Intergenic,chr1,N_Shelf
cg00420911,Intergenic,chr5,Open_Sea
cg00421223,Intergenic,chr5,Open_Sea
cg00421541,Intergenic,chr1,N_Shelf
cg00421612,Intergenic,chr7,S_Shore
cg00421846,Intergenic,chr6,S_Shore
cg00422474,Intergenic,chr8,Open_Sea
cg00422918,Intergenic,chr11,N_Shore
cg00422978,Intergenic,chr8,Open_Sea
cg00423068,Intergenic,chr8,S_Shore
cg00423675,Intergenic,chr9,N_Shore
cg00425678,Intergenic,chr13,N_Shelf
cg00426089,Intergenic,chr1,Open_Sea
cg00427681,Intergenic,chrX,Island
cg00428709,Intergenic,chr16,Open_Sea
cg00430895,Intergenic,chr18,N_Shore
cg00431968,Intergenic,chr8,Open_Sea
cg00432659,Intergenic,chr18,S_Shore
cg00441573,Intergenic,chr10,Island
cg00443094,Intergenic,chr4,N_Shore
cg00445318,Intergenic,chr21,N_Shore
cg00448235,Intergenic,*,Open_Sea
cg00448752,Intergenic,chr1,Open_Sea
cg00449021,Intergenic,chr1,Open_Sea
cg00456299,Intergenic,chr1,Open_Sea
cg00458878,Intergenic,chr7,Island
cg00459623,Intergenic,chr2,Island
cg00459997,Intergenic,chr12,N_Shore
cg00461650,Intergenic,chr16,Open_Sea
cg00461685,Intergenic,chr8,Island
cg00462951,Intergenic,chr12,N_Shore
cg00464757,Intergenic,chr4,Open_Sea
cg00464946,Intergenic,chr1,S_Shelf
cg00468846,Intergenic,chr16,S_Shore
cg00469207,Intergenic,chr7,Island
cg00469395,Intergenic,chr16,S_Shore
cg00469602,Intergenic,chr2,S_Shelf
cg00469771,Intergenic,chr17,Island
cg00469814,Intergenic,chr4,Open_Sea
cg00470007,Intergenic,chr12,Open_Sea
cg00471110,Intergenic,*,Open_Sea
cg00475820,Intergenic,chr6,Island
cg00476282,Intergenic,chr8,Open_Sea
cg00476872,Intergenic,chr6,N_Shore
cg00481350,Intergenic,chr4,Island
cg00483562,Intergenic,chr5,Island
cg00484484,Intergenic,chr15,Open_Sea
cg00486011,Intergenic,chr4,Open_Sea
cg00486280,Intergenic,chr15,Open_Sea
cg00488091,Intergenic,chr6,N_Shore
cg00488716,Intergenic,chr14,Open_Sea
cg00490004,Intergenic,chr3,S_Shelf
cg00490075,Intergenic,chr13,Open_Sea
cg00491577,Intergenic,chr2,N_Shore
cg00492333,Intergenic,chr19,N_Shelf
cg00493139,Intergenic,chr2,N_Shelf
cg00493363,Intergenic,chr7,Open_Sea
cg00493617,Intergenic,chr2,Open_Sea
cg00495860,Intergenic,chr21,Island
cg00497232,Intergenic,chr4,Island
cg00497735,Intergenic,chr16,Open_Sea
cg00498591,Intergenic,chr3,Island
cg00500705,Intergenic,chr12,Island
cg00502444,Intergenic,chr7,N_Shelf
cg00506056,Intergenic,*,Open_Sea
cg00510330,Intergenic,chr6,Open_Sea
cg00511577,Intergenic,chr7,Open_Sea
cg00513564,Intergenic,chr13,Open_Sea
cg00513941,Intergenic,chr19,N_Shelf
cg00513952,Intergenic,chr16,Open_Sea
cg00514514,Intergenic,chr16,S_Shelf
cg00514971,Intergenic,chr5,Island
cg00517787,Intergenic,chr4,N_Shore
cg00518266,Intergenic,chr6,S_Shore
cg00519537,Intergenic,chr16,Open_Sea
cg00520717,Intergenic,chr19,N_Shelf
cg00521464,Intergenic,chr17,S_Shelf
cg00524374,Intergenic,chr10,Open_Sea
cg00525392,Intergenic,chr18,N_Shore
cg00526835,Intergenic,chr10,Open_Sea
cg00527489,Intergenic,chr1,S_Shore
cg00529742,Intergenic,chr1,Open_Sea
cg00530925,Intergenic,chr10,Island
cg00532399,Intergenic,chr5,Open_Sea
cg00532492,Intergenic,chr10,S_Shore
cg00532802,Intergenic,chr11,Open_Sea
cg00533827,Intergenic,chr2,Open_Sea
cg00536910,Intergenic,chr8,N_Shore
cg00537837,Intergenic,chr16,Island
cg00538458,Intergenic,chr16,Island
cg00541303,Intergenic,chr1,Open_Sea
cg00542992,Intergenic,chr5,Open_Sea
cg00543723,Intergenic,chr11,Open_Sea
cg00544070,Intergenic,chr15,Open_Sea
cg00544573,Intergenic,chr2,Open_Sea
cg00547983,Intergenic,chr1,Open_Sea
cg00548708,Intergenic,chr17,Island
cg00550616,Intergenic,chr16,Open_Sea
cg00552600,Intergenic,chr7,N_Shore
cg00552696,Intergenic,chr10,Open_Sea
cg00552753,Intergenic,chr17,N_Shelf
cg00552822,Intergenic,*,Open_Sea
cg00555085,Intergenic,chr16,Open_Sea
cg00555894,Intergenic,chr4,Open_Sea
cg00557947,Intergenic,chr10,Island
cg00557959,Intergenic,chr13,Open_Sea
cg00558224,Intergenic,chr5,N_Shore
cg00561736,Intergenic,*,Open_Sea
cg00561775,Intergenic,chr16,Open_Sea
cg00561854,Intergenic,chr2,Open_Sea
cg00564051,Intergenic,chr11,N_Shore
cg00564524,Intergenic,chr8,N_Shore
cg00564996,Intergenic,chr6,N_Shelf
cg00565679,Intergenic,chr12,Open_Sea
cg00569447,Intergenic,chr5,Island
cg00570341,Intergenic,chr2,S_Shore
cg00572966,Intergenic,chr7,Open_Sea
cg00573410,Intergenic,chr2,Open_Sea
cg00573835,Intergenic,chr16,Island
cg00574742,Intergenic,chr5,Open_Sea
cg00575066,Intergenic,chr6,N_Shore
cg00575674,Intergenic,chr1,Open_Sea
cg00576689,Intergenic,chr8,Open_Sea
cg00578614,Intergenic,chr6,S_Shore
cg00579200,Intergenic,chr11,S_Shore
cg00580497,Intergenic,chr5,N_Shore
cg00580715,Intergenic,chr10,Island
cg00583526,Intergenic,chr1,N_Shore
cg00584485,Intergenic,chr8,Open_Sea
cg00587301,Intergenic,chr6,N_Shore
cg00589520,Intergenic,chr7,N_Shore
cg00589737,Intergenic,chr5,N_Shore
cg00591740,Intergenic,chr6,N_Shore
cg00592781,Intergenic,chr12,Island
cg00595787,Intergenic,chr2,Open_Sea
cg00597687,Intergenic,chr1,Island
cg00599530,Intergenic,chr6,S_Shore
cg00600854,Intergenic,chr1,N_Shore
cg00601035,Intergenic,chr8,Open_Sea
cg00601124,Intergenic,chr15,Open_Sea
cg00602655,Intergenic,chr10,Open_Sea
cg00604202,Intergenic,chr6,Island
cg00604454,Intergenic,chr16,Island
cg00612985,Intergenic,chr2,Open_Sea
cg00613649,Intergenic,chr5,N_Shore
cg00617691,Intergenic,chr10,S_Shore
cg00618626,Intergenic,chr17,S_Shelf
cg00618717,Intergenic,chr2,Open_Sea
cg00620976,Intergenic,chr16,Open_Sea
cg00621779,Intergenic,chr8,N_Shelf
cg00622318,Intergenic,chr10,Open_Sea
cg00622749,Intergenic,chr10,Open_Sea
cg00622837,Intergenic,chr6,Island
cg00622988,Intergenic,chr5,Open_Sea
cg00624404,Intergenic,chr6,Island
cg00624440,Intergenic,chr16,S_Shelf
cg00624617,Intergenic,chr5,N_Shore
cg00624939,Intergenic,chr8,Open_Sea
cg00626412,Intergenic,chr10,N_Shelf
cg00627998,Intergenic,chr13,Open_Sea
cg00628788,Intergenic,chr18,Island
cg00629427,Intergenic,chr13,Island
cg00629514,Intergenic,chr6,N_Shelf
cg00632007,Intergenic,chr6,N_Shore
cg00632863,Intergenic,chr7,N_Shore
cg00636675,Intergenic,chr7,Island
cg00639200,Intergenic,chr17,Open_Sea
cg00643086,Intergenic,chr6,Open_Sea
cg00645383,Intergenic,chr13,Island
cg00646396,Intergenic,chr1,Open_Sea
cg00647106,Intergenic,*,Open_Sea
cg00647217,Intergenic,chr1,Island
cg00647262,Intergenic,chr6,S_Shore
cg00648274,Intergenic,chr6,S_Shore
cg00650641,Intergenic,chr7,Island
cg00653650,Intergenic,chr10,S_Shelf
cg00655923,Intergenic,chr7,Open_Sea
cg00658743,Intergenic,chr2,N_Shore
cg00660693,Intergenic,chr1,Island
cg00661970,Intergenic,chr12,N_Shore
cg00662400,Intergenic,chr16,N_Shore
cg00664343,Intergenic,chr3,N_Shelf
cg00664581,Intergenic,chr9,N_Shore
cg00664697,Intergenic,chr16,Open_Sea
cg00665029,Intergenic,chr8,N_Shore
cg00665106,Intergenic,chr1,Open_Sea
cg00665420,Intergenic,chr9,Island
cg00667751,Intergenic,chr6,Island
cg00669390,Intergenic,chr16,Open_Sea
cg00670942,Intergenic,chr17,Open_Sea
cg00671600,Intergenic,chr20,S_Shelf
cg00672111,Intergenic,chr12,Open_Sea
cg00674004,Intergenic,chr10,S_Shore
cg00674220,Intergenic,chr13,Open_Sea
cg00674679,Intergenic,chr2,Island
cg00675229,Intergenic,chr4,Open_Sea
cg00676536,Intergenic,chr2,N_Shore
cg00676711,Intergenic,chr8,Open_Sea
cg00676988,Intergenic,chr4,Open_Sea
cg00679184,Intergenic,chr14,Open_Sea
cg00682734,Intergenic,chr20,Island
cg00683332,Intergenic,chr16,Island
cg00684125,Intergenic,chr7,Open_Sea
cg00686030,Intergenic,chr2,N_Shore
cg00686169,Intergenic,*,Open_Sea
cg00687306,Intergenic,chr15,Open_Sea
cg00687447,Intergenic,chr16,S_Shelf
cg00688323,Intergenic,*,Open_Sea
cg00688620,Intergenic,chr4,N_Shore
cg00689772,Intergenic,chr6,Open_Sea
cg00690809,Intergenic,*,Open_Sea
cg00691948,Intergenic,chr17,Open_Sea
cg00692484,Intergenic,chr7,Island
cg00692610,Intergenic,chr17,N_Shore
cg00693710,Intergenic,chr8,Open_Sea
cg00695982,Intergenic,chr8,Open_Sea
cg00697286,Intergenic,chr17,Open_Sea
cg00699219,Intergenic,chr4,Island
cg00700638,Intergenic,chr16,Open_Sea
cg00701051,Intergenic,chr1,Island
cg00701514,Intergenic,chr16,S_Shelf
cg00702719,Intergenic,chr6,Island
cg00705255,Intergenic,*,Open_Sea
cg00709112,Intergenic,chr10,S_Shore
cg00709966,Intergenic,chr7,Island
cg00709979,Intergenic,chr16,S_Shelf
cg00710180,Intergenic,chr2,Open_Sea
cg00713813,Intergenic,*,Open_Sea
cg00716470,Intergenic,chr2,N_Shore
cg00716848,Intergenic,chr2,Open_Sea
cg00718107,Intergenic,chr8,Open_Sea
cg00718261,Intergenic,chr7,S_Shore
cg00718470,Intergenic,chr15,Island
cg00721530,Intergenic,chr15,S_Shore
cg00721572,Intergenic,chr1,S_Shore
cg00724015,Intergenic,chr2,Open_Sea
cg00725401,Intergenic,chr8,N_Shore
cg00726029,Intergenic,chr8,Open_Sea
cg00730172,Intergenic,chr1,Island
cg00731232,Intergenic,chr9,N_Shore
cg00731458,Intergenic,chr16,S_Shelf
cg00732232,Intergenic,chr8,Island
cg00732378,Intergenic,chr16,Open_Sea
cg00733115,Intergenic,chr6,Open_Sea
cg00733567,Intergenic,chr10,Open_Sea
cg00733786,Intergenic,chr14,Open_Sea
cg00733978,Intergenic,chr7,Open_Sea
cg00734931,Intergenic,chr6,Open_Sea
cg00735595,Intergenic,chr8,Open_Sea
cg00735667,Intergenic,chr3,Island
cg00735907,Intergenic,chr6,N_Shore
cg00736104,Intergenic,chr12,Open_Sea
cg00737970,Intergenic,chr10,Open_Sea
cg00738897,Intergenic,chr16,S_Shore
cg00745389,Intergenic,chr7,Island
cg00747618,Intergenic,chr1,N_Shore
cg00748072,Intergenic,chr2,Open_Sea
cg00750555,Intergenic,chr16,S_Shore
cg00750630,Intergenic,chr14,Open_Sea
cg00750806,Intergenic,chr21,N_Shelf
cg00753885,Intergenic,chr12,S_Shore
cg00754989,Intergenic,chr15,Open_Sea
cg00755063,Intergenic,chr19,S_Shore
cg00755181,Intergenic,chr14,Open_Sea
cg00756860,Intergenic,*,Open_Sea
cg00759573,Intergenic,chr3,N_Shore
cg00759741,Intergenic,chr16,S_Shelf
cg00760950,Intergenic,chr13,Open_Sea
cg00763510,Intergenic,chr14,Open_Sea
cg00765522,Intergenic,chr14,Open_Sea
cg00765992,Intergenic,chr1,N_Shelf
cg00766188,Intergenic,chr15,S_Shore
cg00766220,Intergenic,chr5,N_Shore
cg00770316,Intergenic,chr2,Open_Sea
cg00771316,Intergenic,chr2,N_Shelf
cg00771642,Intergenic,chr19,Island
cg00778190,Intergenic,chr1,Open_Sea
cg00778807,Intergenic,chr1,Open_Sea
cg00778993,Intergenic,chr6,Open_Sea
cg00779565,Intergenic,chr1,N_Shore
cg00780971,Intergenic,chr1,Open_Sea
cg00781388,Intergenic,chr16,Open_Sea
cg00781749,Intergenic,chr14,Open_Sea
cg00782188,Intergenic,chr16,S_Shelf
cg00782323,Intergenic,chr12,N_Shelf
cg00787290,Intergenic,chr6,N_Shore
cg00787608,Intergenic,chr2,Open_Sea
