cpg,gene,chromosome,f_type,importance
cg05858920,BCL2,chr18,Island,2.81E-17
cg01101677,Intergenic,chr2,N_Shore,2.42E-17
cg19751997,Intergenic,chr1,Open_Sea,2.42E-17
cg23814988,C1orf95,chr1,N_Shore,2.40E-17
cg25544146,MIR3665,chr13,S_Shore,2.35E-17
cg25429150,AC007040.11,chr2,N_Shelf,2.26E-17
cg25592413,STC2,chr5,N_Shore,2.18E-17
cg12721952,PEX10,chr1,N_Shelf,2.14E-17
cg10909506,ORMDL3,chr17,N_Shore,2.14E-17
cg08219099,MAEA,chr4,S_Shelf,1.96E-17
cg04888647,GLT8D1,chr3,N_Shore,1.96E-17
cg21182616,UVSSA,chr4,N_Shore,1.84E-17
cg16603046,OBSCN,chr1,N_Shore,1.83E-17
cg07434438,ZFHX3,chr16,Open_Sea,1.79E-17
cg09161542,LMO7,chr13,Open_Sea,1.72E-17
cg20832137,B3GAT2,chr6,Island,1.71E-17
cg01837364,Intergenic,chr6,Island,1.55E-17
cg06594281,SLC16A5,chr17,N_Shore,1.51E-17
cg24657520,ZNF684,chr1,Island,1.49E-17
cg26536957,RP11-85A1.3,chr10,Island,1.48E-17
cg13292458,FAM210A,chr18,Island,1.38E-17
cg16167673,STARD8,chrX,Open_Sea,1.37E-17
cg01109279,KBTBD11,chr8,N_Shore,1.29E-17
cg03595580,BRI3,chr7,N_Shore,1.29E-17
cg04712436,ARRDC3,chr5,Island,1.21E-17
cg04544699,Intergenic,chr17,S_Shelf,1.19E-17
cg07452728,PIN1,chr19,Open_Sea,1.16E-17
cg10018845,FRRS1,chr1,Open_Sea,1.15E-17
cg12786186,Intergenic,chr2,Island,8.64E-18
cg18455405,ATXN1,chr6,Open_Sea,8.16E-18
cg00711916,CNNM4,chr2,N_Shore,7.68E-18
cg13802883,STK31,chr7,Open_Sea,7.64E-18
cg06192619,SLC1A6,chr19,Open_Sea,7.56E-18
cg14359680,GPR132,chr14,Open_Sea,7.33E-18
cg01437235,TMEM175,chr4,N_Shore,7.03E-18
cg04012931,FLOT1,chr6,Island,5.52E-18
cg26574395,SULT2A1,chr19,Open_Sea,5.21E-18
cg22153696,CCDC110,chr4,N_Shelf,5.08E-18
cg06577241,SLC32A1,chr20,Island,4.56E-18
cg02432968,Intergenic,chr6,Open_Sea,4.52E-18
cg20729891,CDC40,chr6,Island,4.31E-18
cg06347698,Intergenic,chr1,Open_Sea,4.26E-18
cg12712618,MSRA,chr8,Open_Sea,4.03E-18
cg01983504,MIR103A2,chr20,Open_Sea,3.69E-18
cg13401658,Intergenic,chr2,Open_Sea,3.63E-18
cg10233654,DUSP6,chr12,N_Shore,3.47E-18
cg13048967,CXCR1,chr2,Open_Sea,2.84E-18
cg04178207,GTF2H4,chr6,S_Shelf,2.80E-18
cg16144934,GALNT10,chr5,Island,2.72E-18
cg15100417,CTD-2587M23.1,chr5,N_Shore,2.67E-18
cg08456247,AC007743.1,chr2,N_Shore,2.58E-18
cg09132607,AC011242.6,chr2,Open_Sea,2.52E-18
cg08453483,Intergenic,chr2,Island,2.49E-18
cg01821684,RAC1,chr7,S_Shore,2.49E-18
cg20416179,IYD,chr6,Open_Sea,1.99E-18
cg00105753,RP11-640N20.9,chr17,Open_Sea,1.94E-18
cg00280922,ELMSAN1,chr14,Island,1.79E-18
cg02524236,Intergenic,chr10,Open_Sea,1.76E-18
cg06638966,COL19A1,chr6,N_Shore,1.72E-18
cg00157109,PRKAG2,chr7,N_Shelf,1.67E-18
cg06752392,GPATCH1,chr19,N_Shore,1.67E-18
cg01085328,IL17RA,chr22,Island,1.62E-18
cg18824990,HOTAIR,chr12,N_Shore,1.48E-18
cg13847963,IFNLR1,chr1,Island,1.30E-18
cg01983725,ADCK3,chr1,N_Shore,1.24E-18
cg19121462,HCG17,chr6,Island,1.21E-18
cg11508413,GSX1,chr13,S_Shore,1.16E-18
cg00073010,RAI1,chr17,Island,1.16E-18
cg07917473,GRAMD4P2,chr22,S_Shore,1.08E-18
cg00821764,UMPS,chr3,S_Shore,1.03E-18
cg00013733,DAZAP1,chr19,N_Shore,9.84E-19
cg17000076,ADARB2,chr10,S_Shore,9.24E-19
cg00632364,Intergenic,chr6,N_Shore,8.77E-19
cg00306905,TIAL1,chr10,Island,8.45E-19
cg00018024,NKX6-2,chr10,Island,7.72E-19
cg18085683,Intergenic,chr4,Open_Sea,7.58E-19
cg00008713,IMPA2,chr18,Island,7.49E-19
cg00457684,GPX5,chr6,Open_Sea,7.33E-19
cg22752895,BPHL,chr6,Island,6.94E-19
cg18964261,FAM229B,chr6,S_Shore,5.97E-19
cg00000029,RBL2,chr16,N_Shore,5.23E-19
cg00014112,GYPC,chr2,N_Shore,5.07E-19
cg00012992,PRKCH,chr14,Island,4.33E-19
cg00040008,KLHL2,chr4,Island,3.59E-19
cg00020297,FAM8A1,chr6,Island,3.57E-19
cg00008671,CCSER2,chr10,N_Shore,3.51E-19
cg03918377,PCGF3,chr4,N_Shore,3.51E-19
cg00093099,EMILIN2,chr18,S_Shore,3.04E-19
cg11160572,PALLD,chr4,Open_Sea,2.96E-19
cg00000292,ATP2A1,chr16,N_Shore,2.89E-19
cg00004963,ADGB,chr6,Open_Sea,2.79E-19
cg00061086,MGAT2,chr14,Island,2.41E-19
cg00004067,TRANK1,chr3,N_Shelf,2.37E-19
cg00859481,DYNC1I1,chr7,N_Shore,2.26E-19
cg00000948,Intergenic,chr8,Island,1.93E-19
cg00000658,MAN1B1,chr9,Island,1.90E-19
cg08367083,SVIL-AS1,chr10,Island,1.65E-19
cg00524694,RP11-1252I4.2,chr5,N_Shore,1.39E-19
cg20369513,PRRC2A,chr6,N_Shelf,1.24E-19
cg00087735,SLC45A1,chr1,Island,1.14E-19
cg00002591,MUSTN1,chr3,Open_Sea,1.11E-19
cg00002464,NOV,chr8,Island,1.06E-19
cg00000165,Intergenic,chr1,S_Shore,9.74E-20
cg00000289,ACTN1,chr14,N_Shore,8.11E-20
cg00002593,TAS1R3,chr1,Island,7.96E-20
cg00000734,CNBP,chr3,Island,5.16E-20
cg00020175,LARP6,chr15,Open_Sea,4.50E-20
cg00000622,NIPA2,chr15,Island,3.61E-20
cg00000924,KCNQ1,chr11,Island,2.58E-20
cg00001446,ELOVL1,chr1,N_Shore,2.28E-35
cg00001245,MRPS25,chr3,Island,1.91E-35
