cpg,gene,chromosome,f_type
cg00093522,Intergenic,chr1,N_Shore
cg00094006,Intergenic,chr1,S_Shore
cg00094044,Intergenic,*,Open_Sea
cg00094255,Intergenic,chr6,N_Shore
cg00094595,Intergenic,chr12,Open_Sea
cg00095523,Intergenic,chr12,Island
cg00096328,Intergenic,chr3,Open_Sea
cg00097450,Intergenic,chr17,Open_Sea
cg00097639,Intergenic,chr21,N_Shelf
cg00101260,Intergenic,chr17,Open_Sea
cg00102093,Intergenic,chr1,Open_Sea
cg00102439,Intergenic,chr8,Island
cg00107241,Intergenic,chr1,Island
cg00107631,Intergenic,chr16,Open_Sea
cg00107916,Intergenic,chr5,N_Shore
cg00108222,Intergenic,chr15,Island
cg00108617,Intergenic,chr7,Island
cg00108694,Intergenic,chr5,Open_Sea
cg00111463,Intergenic,chr7,Open_Sea
cg00112048,Intergenic,chr8,Open_Sea
cg00112558,Intergenic,chr7,S_Shore
cg00113117,Intergenic,chr1,S_Shelf
cg00113663,Intergenic,chr5,N_Shore
cg00115639,Intergenic,chr17,Open_Sea
cg00117237,Intergenic,chr8,Open_Sea
cg00117599,Intergenic,chr17,Open_Sea
cg00118783,Intergenic,chr16,Island
cg00119053,Intergenic,chr6,N_Shore
cg00120332,Intergenic,chr6,Open_Sea
cg00128695,Intergenic,chr10,S_Shore
cg00129524,Intergenic,*,Open_Sea
cg00129785,Intergenic,chr21,N_Shore
cg00130778,Intergenic,chr22,N_Shore
cg00131244,Intergenic,chr8,Open_Sea
cg00132208,Intergenic,chr4,S_Shore
cg00132972,Intergenic,chr2,N_Shelf
cg00134728,Intergenic,chr3,Island
cg00141174,Intergenic,chr9,Island
cg00142266,Intergenic,chr15,Open_Sea
cg00142402,Intergenic,chr17,S_Shore
cg00145093,Intergenic,chr10,Open_Sea
cg00145438,Intergenic,chr13,N_Shore
cg00145875,Intergenic,chr2,S_Shelf
cg00146805,Intergenic,chr7,N_Shore
cg00148513,Intergenic,chr1,N_Shelf
cg00149473,Intergenic,chr10,Island
cg00150080,Intergenic,chr7,N_Shelf
cg00150785,Intergenic,chr20,N_Shore
cg00153707,Intergenic,chr9,Island
cg00153919,Intergenic,chr16,Open_Sea
cg00155679,Intergenic,chr7,Open_Sea
cg00160902,Intergenic,chr4,Open_Sea
cg00161791,Intergenic,*,Open_Sea
cg00163217,Intergenic,chr13,N_Shore
cg00163668,Intergenic,chr4,S_Shore
cg00163727,Intergenic,chr6,Open_Sea
cg00164500,Intergenic,chr2,S_Shore
cg00165994,Intergenic,chr1,Open_Sea
cg00176111,Intergenic,chr1,N_Shore
cg00176657,Intergenic,chr1,N_Shelf
cg00176709,Intergenic,chr6,Island
cg00178506,Intergenic,chr12,Open_Sea
cg00181327,Intergenic,chr13,Open_Sea
cg00181669,Intergenic,chr3,Open_Sea
cg00182937,Intergenic,chr6,S_Shelf
cg00183468,Intergenic,chr3,Open_Sea
cg00186580,Intergenic,chr10,N_Shore
cg00188409,Intergenic,chrX,N_Shore
cg00189366,Intergenic,chr10,S_Shore
cg00191102,Intergenic,chr8,S_Shore
cg00192275,Intergenic,chr10,N_Shore
cg00192636,Intergenic,chr17,N_Shore
cg00198141,Intergenic,chr6,Island
cg00198594,Intergenic,chr3,Open_Sea
cg00203564,Intergenic,chr3,Open_Sea
cg00205157,Intergenic,chr6,N_Shore
cg00205436,Intergenic,chr2,N_Shore
cg00206507,Intergenic,chr6,Open_Sea
cg00207855,Intergenic,*,Open_Sea
cg00207916,Intergenic,chrX,Island
cg00215017,Intergenic,chr10,N_Shelf
cg00216913,Intergenic,chr16,Open_Sea
cg00224807,Intergenic,chr2,Open_Sea
cg00226580,Intergenic,chr5,Open_Sea
cg00226822,Intergenic,chr4,N_Shelf
cg00228735,Intergenic,chr7,Open_Sea
cg00229868,Intergenic,chr16,S_Shore
cg00230120,Intergenic,chr12,Open_Sea
cg00231274,Intergenic,chr7,N_Shore
cg00231810,Intergenic,chr7,Open_Sea
cg00232160,Intergenic,chr9,Island
cg00234321,Intergenic,chr3,N_Shore
cg00235126,Intergenic,chr20,N_Shore
cg00235786,Intergenic,chr5,Open_Sea
cg00238427,Intergenic,chr20,N_Shore
cg00245057,Intergenic,chr8,Open_Sea
cg00250409,Intergenic,chr16,Open_Sea
cg00250645,Intergenic,chr8,Open_Sea
cg00251973,Intergenic,chr12,N_Shore
cg00252149,Intergenic,chr1,N_Shore
cg00252408,Intergenic,chr1,S_Shelf
cg00256155,Intergenic,chr1,Island
cg00258499,Intergenic,chr1,Open_Sea
cg00258779,Intergenic,chr17,Island
cg00258809,Intergenic,chr3,Island
cg00260911,Intergenic,chr2,Open_Sea
cg00263368,Intergenic,chr7,N_Shore
cg00264236,Intergenic,chr16,S_Shore
cg00271204,Intergenic,chr5,N_Shore
cg00274279,Intergenic,chr6,Island
cg00275479,Intergenic,chr5,S_Shelf
cg00280177,Intergenic,chr8,Island
cg00281132,Intergenic,chr10,Open_Sea
cg00282216,Intergenic,*,Open_Sea
cg00284780,Intergenic,chr6,N_Shore
cg00290667,Intergenic,chr2,N_Shore
cg00292029,Intergenic,chr6,Open_Sea
cg00294538,Intergenic,chr13,Open_Sea
cg00294852,Intergenic,chr15,Island
cg00295853,Intergenic,chr1,Open_Sea
cg00297843,Intergenic,chr4,N_Shore
cg00301792,Intergenic,chr2,Open_Sea
cg00302083,Intergenic,chr8,Open_Sea
cg00302763,Intergenic,*,Open_Sea
cg00304785,Intergenic,chr7,N_Shore
cg00306378,Intergenic,chr2,Open_Sea
cg00306851,Intergenic,chr15,Open_Sea
cg00306893,Intergenic,chr3,Open_Sea
cg00309232,Intergenic,chr7,N_Shore
cg00310410,Intergenic,chr2,N_Shore
cg00315239,Intergenic,chr16,S_Shore
cg00318013,Intergenic,chr17,N_Shelf
cg00318643,Intergenic,chr16,N_Shelf
cg00320845,Intergenic,chr19,Open_Sea
cg00325531,Intergenic,chr1,Island
cg00325661,Intergenic,chr8,Island
cg00326161,Intergenic,chr6,Open_Sea
cg00331283,Intergenic,chr11,Open_Sea
cg00332248,Intergenic,chr21,S_Shore
cg00332680,Intergenic,chr10,N_Shore
cg00332850,Intergenic,chr8,Island
cg00333678,Intergenic,chr8,N_Shelf
cg00334293,Intergenic,chr22,Island
cg00334399,Intergenic,chr6,N_Shelf
cg00334453,Intergenic,chr16,Island
cg00335219,Intergenic,chr16,Open_Sea
cg00339331,Intergenic,chr19,Open_Sea
cg00339740,Intergenic,chr2,Open_Sea
cg00341843,Intergenic,chr10,Island
cg00344577,Intergenic,chr17,S_Shore
cg00345344,Intergenic,chr16,Island
cg00345425,Intergenic,chr4,Open_Sea
cg00347228,Intergenic,chr1,S_Shore
cg00347518,Intergenic,chr20,Island
cg00350304,Intergenic,chr16,S_Shore
cg00361992,Intergenic,chr1,N_Shore
cg00363177,Intergenic,chr10,Open_Sea
cg00364644,Intergenic,chr16,S_Shore
cg00366880,Intergenic,chr3,N_Shore
cg00367596,Intergenic,chr6,N_Shore
cg00368218,Intergenic,chr3,Open_Sea
cg00368755,Intergenic,chr8,N_Shore
cg00372908,Intergenic,chr2,Open_Sea
cg00374554,Intergenic,chr5,N_Shore
cg00375132,Intergenic,chr10,S_Shore
cg00377087,Intergenic,chr13,Open_Sea
cg00377344,Intergenic,chr10,N_Shore
cg00377865,Intergenic,chr3,S_Shelf
cg00379630,Intergenic,chr6,N_Shore
cg00381755,Intergenic,chr16,Island
cg00381829,Intergenic,chr13,Open_Sea
cg00384553,Intergenic,chr1,N_Shelf
cg00389619,Intergenic,chr4,Open_Sea
cg00391044,Intergenic,chrX,N_Shore
cg00391247,Intergenic,chr12,Open_Sea
cg00392196,Intergenic,chr19,N_Shelf
cg00392316,Intergenic,chr8,Island
cg00392505,Intergenic,chr10,Island
cg00397103,Intergenic,chr1,Open_Sea
cg00398276,Intergenic,chr7,Island
cg00400665,Intergenic,chrX,Island
cg00400964,Intergenic,chr22,S_Shelf
cg00403784,Intergenic,chr6,N_Shore
cg00407105,Intergenic,chr4,S_Shelf
cg00408906,Intergenic,chr19,N_Shore
cg00409049,Intergenic,chr2,N_Shore
cg00413030,Intergenic,chr7,Open_Sea
cg00413352,Intergenic,chr1,Island
cg00413543,Intergenic,chr8,Open_Sea
cg00414898,Intergenic,chr15,Island
cg00416400,Intergenic,chr13,Island
cg00417424,Intergenic,chr5,N_Shore
cg00418282,Intergenic,chr5,Island
cg00423039,Intergenic,chr1,S_Shelf
cg00426709,Intergenic,chr6,S_Shore
cg00429107,Intergenic,*,Open_Sea
cg00429509,Intergenic,chr2,Open_Sea
cg00430542,Intergenic,chr16,N_Shore
cg00432262,Intergenic,chr7,Open_Sea
cg00436219,Intergenic,chr3,N_Shore
cg00438952,Intergenic,chr3,Open_Sea
cg00440195,Intergenic,chr16,Open_Sea
cg00441703,Intergenic,chr16,Open_Sea
cg00442907,Intergenic,chr16,Open_Sea
cg00445523,Intergenic,chr3,Open_Sea
cg00448300,Intergenic,chr2,S_Shelf
cg00448891,Intergenic,*,Open_Sea
cg00451102,Intergenic,chr10,Open_Sea
cg00451105,Intergenic,chr13,N_Shore
cg00451413,Intergenic,chr3,Open_Sea
cg00453272,Intergenic,chr10,S_Shore
cg00453938,Intergenic,chr20,S_Shore
cg00456343,Intergenic,chr10,Island
cg00458395,Intergenic,chr19,N_Shore
cg00461236,Intergenic,chr16,Open_Sea
cg00466819,Intergenic,chrX,S_Shore
cg00467600,Intergenic,chr12,Island
cg00468228,Intergenic,chr8,S_Shelf
cg00470051,Intergenic,chr6,S_Shore
cg00470505,Intergenic,chr9,Island
cg00472528,Intergenic,chr12,S_Shelf
cg00473749,Intergenic,chr7,Open_Sea
cg00479463,Intergenic,chr19,Island
cg00481639,Intergenic,chr2,Open_Sea
cg00484111,Intergenic,chrX,N_Shore
cg00484122,Intergenic,chr2,Open_Sea
cg00490349,Intergenic,chr11,Open_Sea
cg00491127,Intergenic,chr9,N_Shore
cg00491522,Intergenic,chr10,S_Shore
cg00492142,Intergenic,chr6,N_Shore
cg00493242,Intergenic,chr4,Open_Sea
cg00493314,Intergenic,chr2,N_Shelf
cg00493716,Intergenic,chr18,Island
cg00494788,Intergenic,chr4,N_Shelf
cg00495201,Intergenic,chr5,N_Shore
cg00495476,Intergenic,chr6,N_Shore
cg00495512,Intergenic,chr7,Open_Sea
cg00496484,Intergenic,chr2,Open_Sea
cg00497956,Intergenic,chr7,Open_Sea
cg00499191,Intergenic,chr6,N_Shore
cg00500227,Intergenic,chr10,S_Shelf
cg00502026,Intergenic,chr16,Island
cg00502576,Intergenic,chr13,N_Shore
cg00508158,Intergenic,chr1,N_Shore
cg00509335,Intergenic,chr6,N_Shore
cg00509766,Intergenic,chr11,Open_Sea
cg00509963,Intergenic,chr5,Open_Sea
cg00510160,Intergenic,chr12,Open_Sea
cg00512459,Intergenic,chr15,Open_Sea
cg00512622,Intergenic,*,Open_Sea
cg00512658,Intergenic,chr11,N_Shelf
cg00513288,Intergenic,chr19,N_Shore
cg00514284,Intergenic,*,Open_Sea
cg00522276,Intergenic,chr8,N_Shore
cg00522451,Intergenic,chr2,Open_Sea
cg00523450,Intergenic,chr10,Island
cg00526069,Intergenic,chr6,Open_Sea
cg00527805,Intergenic,chr18,N_Shore
cg00537614,Intergenic,chr16,Open_Sea
cg00538212,Intergenic,chr7,S_Shore
cg00538888,Intergenic,chr10,N_Shelf
cg00539300,Intergenic,chr16,S_Shelf
cg00539624,Intergenic,chr5,Open_Sea
cg00539925,Intergenic,chr1,N_Shelf
cg00542224,Intergenic,chr10,N_Shelf
cg00546971,Intergenic,chr1,Open_Sea
cg00549064,Intergenic,chr16,Open_Sea
cg00549601,Intergenic,chr12,S_Shore
cg00549706,Intergenic,chr9,Island
cg00550040,Intergenic,chr19,Open_Sea
cg00550234,Intergenic,chr5,S_Shore
cg00554871,Intergenic,chr3,Open_Sea
cg00556407,Intergenic,chr8,Open_Sea
cg00558749,Intergenic,chr1,Island
cg00560501,Intergenic,chr4,S_Shelf
cg00560632,Intergenic,chr1,Open_Sea
cg00560689,Intergenic,chr1,N_Shore
cg00561903,Intergenic,chr16,Open_Sea
cg00562180,Intergenic,chr16,S_Shore
cg00562468,Intergenic,chr6,Open_Sea
cg00562598,Intergenic,chr17,Open_Sea
cg00564465,Intergenic,chr8,N_Shelf
cg00564555,Intergenic,chr16,S_Shore
cg00566320,Intergenic,chr1,S_Shelf
cg00567930,Intergenic,chr1,S_Shore
cg00569896,Intergenic,chr4,N_Shore
cg00570580,Intergenic,chr2,Open_Sea
cg00573504,Intergenic,chr5,Open_Sea
cg00573584,Intergenic,chr1,N_Shelf
cg00573631,Intergenic,chr5,S_Shore
cg00575672,Intergenic,chr4,Open_Sea
cg00579694,Intergenic,chr6,N_Shore
cg00581043,Intergenic,chr6,Open_Sea
cg00582970,Intergenic,chr17,Open_Sea
cg00583291,Intergenic,chr5,S_Shelf
cg00583304,Intergenic,chr6,Open_Sea
cg00584016,Intergenic,chr10,Island
cg00584456,Intergenic,*,Open_Sea
cg00584840,Intergenic,chr3,Open_Sea
cg00585818,Intergenic,chr16,N_Shelf
cg00593288,Intergenic,chr11,Open_Sea
cg00593462,Intergenic,chr13,Open_Sea
cg00594191,Intergenic,chr10,Open_Sea
cg00596222,Intergenic,chr4,Open_Sea
cg00599559,Intergenic,chr11,Open_Sea
cg00601751,Intergenic,chr8,N_Shelf
cg00602295,Intergenic,chr16,Open_Sea
cg00604142,Intergenic,chr18,Island
cg00604935,Intergenic,chr2,N_Shore
cg00605988,Intergenic,chr16,Island
cg00606496,Intergenic,chr2,N_Shore
cg00608299,Intergenic,chr7,N_Shore
cg00609673,Intergenic,chr20,N_Shore
cg00610360,Intergenic,chr15,N_Shelf
cg00614392,Intergenic,chr6,N_Shore
cg00614617,Intergenic,chr17,N_Shelf
cg00615010,Intergenic,chrX,N_Shore
cg00618087,Intergenic,chr17,N_Shore
cg00618096,Intergenic,chr2,Open_Sea
cg00618596,Intergenic,*,Open_Sea
cg00619356,Intergenic,chr2,Island
cg00620921,Intergenic,chr9,N_Shore
cg00621258,Intergenic,chr20,Island
cg00622128,Intergenic,chr16,Island
cg00624477,Intergenic,chr7,N_Shore
cg00624589,Intergenic,chr16,Open_Sea
cg00625351,Intergenic,chr3,Open_Sea
cg00626312,Intergenic,chr3,Open_Sea
cg00627361,Intergenic,chr4,Open_Sea
cg00630268,Intergenic,chr6,N_Shore
cg00630420,Intergenic,chr16,N_Shore
cg00631287,Intergenic,chr4,Open_Sea
cg00631329,Intergenic,chr6,Open_Sea
cg00632364,Intergenic,chr6,N_Shore
cg00632783,Intergenic,chr5,Open_Sea
cg00638845,Intergenic,chr6,S_Shelf
cg00643222,Intergenic,chr5,Open_Sea
cg00643311,Intergenic,chr5,Open_Sea
cg00644033,Intergenic,chr7,Open_Sea
cg00645628,Intergenic,chr1,Open_Sea
cg00646037,Intergenic,chr5,Open_Sea
cg00646216,Intergenic,chr16,Open_Sea
cg00646546,Intergenic,chr1,S_Shelf
cg00647246,Intergenic,chr7,N_Shore
cg00651759,Intergenic,chr1,Open_Sea
cg00655094,Intergenic,chr16,Open_Sea
cg00656603,Intergenic,chr16,Island
cg00657094,Intergenic,chr1,N_Shelf
cg00657415,Intergenic,chr10,Open_Sea
cg00658440,Intergenic,chr12,Open_Sea
cg00659204,Intergenic,chr4,Open_Sea
cg00659271,Intergenic,*,Open_Sea
cg00660140,Intergenic,chr2,Island
cg00663183,Intergenic,chr3,Open_Sea
cg00667315,Intergenic,chr12,N_Shelf
cg00667647,Intergenic,chr1,N_Shore
cg00667680,Intergenic,chr8,Open_Sea
cg00668927,Intergenic,*,Open_Sea
cg00676394,Intergenic,chr16,Open_Sea
cg00677272,Intergenic,chr14,Open_Sea
cg00678286,Intergenic,chr7,Island
cg00682367,Intergenic,chr20,S_Shelf
cg00683329,Intergenic,chr18,Island
cg00685853,Intergenic,chr2,N_Shore
cg00686826,Intergenic,chr2,S_Shore
cg00687444,Intergenic,chr16,Open_Sea
cg00691451,Intergenic,chr2,Open_Sea
cg00691906,Intergenic,chr6,Open_Sea
cg00692277,Intergenic,chr16,N_Shore
cg00695943,Intergenic,chr16,N_Shelf
cg00698771,Intergenic,chr1,N_Shore
cg00698982,Intergenic,chr16,N_Shelf
cg00703898,Intergenic,*,Open_Sea
cg00705613,Intergenic,chr12,N_Shore
cg00706469,Intergenic,chr2,N_Shore
cg00708603,Intergenic,chr2,Open_Sea
cg00712627,Intergenic,chr10,Open_Sea
cg00712965,Intergenic,chr3,N_Shelf
cg00713066,Intergenic,chr8,N_Shore
cg00716991,Intergenic,chr9,N_Shore
cg00717080,Intergenic,*,Open_Sea
cg00717734,Intergenic,chr2,Open_Sea
cg00718242,Intergenic,chr1,Open_Sea
cg00718539,Intergenic,*,Open_Sea
cg00719072,Intergenic,*,Open_Sea
cg00719771,Intergenic,chr6,Open_Sea
cg00720581,Intergenic,chr2,S_Shore
cg00721539,Intergenic,chr10,Open_Sea
cg00722041,Intergenic,chr10,Open_Sea
cg00722350,Intergenic,chr20,S_Shore
cg00723041,Intergenic,chr22,N_Shore
cg00723994,Intergenic,chr12,Island
cg00725138,Intergenic,chr22,N_Shore
cg00725159,Intergenic,chr3,S_Shelf
cg00726151,Intergenic,chr14,Open_Sea
cg00726871,Intergenic,chr8,Open_Sea
cg00732098,Intergenic,chr16,N_Shore
cg00732251,Intergenic,chr6,S_Shore
cg00732383,Intergenic,chr18,S_Shelf
cg00733328,Intergenic,chr14,N_Shelf
cg00734471,Intergenic,chr8,Open_Sea
cg00736640,Intergenic,chr18,Open_Sea
cg00736958,Intergenic,chr3,Open_Sea
cg00737841,Intergenic,chr10,Open_Sea
cg00738772,Intergenic,chr7,Open_Sea
cg00738934,Intergenic,chr8,Open_Sea
cg00740088,Intergenic,chr18,Island
cg00742465,Intergenic,chr6,N_Shelf
cg00745046,Intergenic,chr10,Island
cg00746308,Intergenic,*,Open_Sea
cg00749609,Intergenic,chr19,N_Shelf
cg00750880,Intergenic,chr17,Open_Sea
cg00751633,Intergenic,chr16,Island
cg00752480,Intergenic,chr2,N_Shelf
cg00753039,Intergenic,chr10,N_Shelf
cg00758292,Intergenic,chr10,S_Shelf
cg00759420,Intergenic,chr6,Open_Sea
cg00759894,Intergenic,chr8,N_Shore
cg00766146,Intergenic,chr1,N_Shore
cg00767069,Intergenic,chr16,Open_Sea
cg00769240,Intergenic,*,Open_Sea
cg00770372,Intergenic,chr8,Open_Sea
cg00770693,Intergenic,chr12,N_Shelf
cg00772257,Intergenic,chr7,N_Shore
cg00772991,Intergenic,chr2,Open_Sea
cg00773093,Intergenic,chr10,Island
cg00775939,Intergenic,chr10,Open_Sea
cg00777546,Intergenic,chr6,Open_Sea
cg00779167,Intergenic,chr1,N_Shelf
cg00782828,Intergenic,chr1,Island
cg00792751,Intergenic,chr11,Island
cg00793227,Intergenic,chr7,N_Shore
cg00793273,Intergenic,chr22,N_Shore
cg00793937,Intergenic,chr6,Open_Sea
cg00794508,Intergenic,chr7,Island
cg00795584,Intergenic,chr6,Open_Sea
cg00806929,Intergenic,chr16,Open_Sea
cg00807235,Intergenic,chr16,Open_Sea
cg00813343,Intergenic,chr7,Open_Sea
cg00813720,Intergenic,chr5,N_Shore
cg00814898,Intergenic,chr6,Open_Sea
cg00817100,Intergenic,chr1,Island
cg00818493,Intergenic,chr8,Open_Sea
cg00820922,Intergenic,chr21,N_Shore
cg00828556,Intergenic,chr3,Open_Sea
cg00828798,Intergenic,chr16,Island
cg00829369,Intergenic,chr9,N_Shore
cg00830121,Intergenic,chr16,Open_Sea
cg00833080,Intergenic,chr12,N_Shelf
cg00833661,Intergenic,*,Open_Sea
cg00834899,Intergenic,chr3,S_Shelf
cg00837308,Intergenic,chr16,Open_Sea
cg00842318,Intergenic,chr5,N_Shore
cg00844339,Intergenic,chr9,Island
cg00844439,Intergenic,chr10,Island
cg00847868,Intergenic,chr10,Open_Sea
cg00850971,Intergenic,chr6,Island
cg00851303,Intergenic,chr16,N_Shelf
cg00854273,Intergenic,chr17,S_Shelf
cg00855014,Intergenic,chr10,Island
cg00856336,Intergenic,chr6,Open_Sea
cg00858294,Intergenic,chr1,Open_Sea
cg00858415,Intergenic,chr2,S_Shelf
cg00859145,Intergenic,chr6,Open_Sea
cg00862376,Intergenic,chr12,Island
cg00865118,Intergenic,*,Open_Sea
cg00866541,Intergenic,chr16,Open_Sea
cg00868131,Intergenic,chr1,N_Shore
cg00870837,Intergenic,chr16,Open_Sea
cg00871215,Intergenic,chr2,Open_Sea
cg00872435,Intergenic,chr2,Open_Sea
cg00879791,Intergenic,chr7,Open_Sea
cg00881892,Intergenic,chr7,Open_Sea
cg00882685,Intergenic,chr2,S_Shore
cg00883210,Intergenic,chr4,Island
cg00885023,Intergenic,chr17,Island
cg00887936,Intergenic,chr3,Open_Sea
cg00892742,Intergenic,chr3,Open_Sea
cg00895836,Intergenic,chr13,Island
cg00900444,Intergenic,chr6,N_Shore
cg00900977,Intergenic,chr20,N_Shelf
cg00901554,Intergenic,chr4,N_Shore
cg00903371,Intergenic,chr2,Open_Sea
cg00904852,Intergenic,chr10,S_Shore
cg00907399,Intergenic,chr17,Open_Sea
cg00907499,Intergenic,chr4,Open_Sea
cg00907810,Intergenic,chr7,Open_Sea
cg00908042,Intergenic,chr22,S_Shore
cg00908813,Intergenic,chr3,Open_Sea
cg00909318,Intergenic,chr4,Open_Sea
cg00910203,Intergenic,chr17,N_Shelf
cg00910827,Intergenic,chr13,Island
cg00912407,Intergenic,chr16,Open_Sea
cg00913787,Intergenic,chr2,N_Shore
cg00914384,Intergenic,chr2,Open_Sea
cg00915818,Intergenic,chr4,N_Shelf
cg00916640,Intergenic,chr12,N_Shelf
cg00918012,Intergenic,chr2,N_Shore
cg00920424,Intergenic,chr3,N_Shore
cg00921237,Intergenic,chr22,N_Shore
cg00922841,Intergenic,chr1,Open_Sea
cg00924909,Intergenic,chr10,Island
cg00928167,Intergenic,chr14,Island
cg00930781,Intergenic,chr1,Open_Sea
cg00932677,Intergenic,chr4,Open_Sea
cg00934299,Intergenic,chr16,N_Shore
cg00935653,Intergenic,chr7,N_Shore
cg00936349,Intergenic,chrX,N_Shelf
cg00938819,Intergenic,chr9,Island
cg00939442,Intergenic,chr1,Open_Sea
cg00941050,Intergenic,chr10,Open_Sea
cg00947796,Intergenic,chr16,Open_Sea
cg00949249,Intergenic,chr2,N_Shore
cg00949424,Intergenic,chr5,Open_Sea
cg00950706,Intergenic,chr16,Open_Sea
cg00952162,Intergenic,chr7,N_Shore
cg00957505,Intergenic,chr17,S_Shore
cg00961616,Intergenic,chr16,Open_Sea
cg00962000,Intergenic,chr1,Open_Sea
cg00962799,Intergenic,chrX,Open_Sea
cg00965168,Intergenic,chr1,Island
cg00967073,Intergenic,chr1,Open_Sea
cg00969087,Intergenic,chr1,Island
cg00971467,Intergenic,chr17,N_Shelf
cg00971810,Intergenic,chr16,Open_Sea
cg00972246,Intergenic,chr1,N_Shelf
cg00977526,Intergenic,chr2,Open_Sea
cg00978901,Intergenic,chr1,Open_Sea
cg00979553,Intergenic,chr16,N_Shelf
cg00982521,Intergenic,chr6,Island
cg00984009,Intergenic,chr7,Open_Sea
cg00985960,Intergenic,chr18,N_Shelf
cg00986910,Intergenic,chr3,Open_Sea
cg00986957,Intergenic,chr13,Island
cg00987097,Intergenic,chr1,N_Shore
cg00987395,Intergenic,chr6,Open_Sea
cg00988260,Intergenic,chr2,Island
cg00988346,Intergenic,chr1,Open_Sea
cg00989002,Intergenic,chr16,Open_Sea
cg00991496,Intergenic,*,Open_Sea
cg00992348,Intergenic,chr10,Open_Sea
cg00993308,Intergenic,chr5,S_Shore
cg00993484,Intergenic,chr2,S_Shelf
cg00993674,Intergenic,*,Open_Sea
cg00993677,Intergenic,chr2,S_Shore
cg00993952,Intergenic,*,Open_Sea
cg00994491,Intergenic,chr5,Open_Sea
cg00995893,Intergenic,chr13,Open_Sea
cg00997998,Intergenic,chr14,Open_Sea
cg01001314,Intergenic,chr4,N_Shore
cg01004966,Intergenic,chr22,N_Shore
cg01005630,Intergenic,chr14,N_Shore
cg01011482,Intergenic,*,Open_Sea
cg01011943,Intergenic,*,Open_Sea
cg01012595,Intergenic,chr8,N_Shore
cg01012713,Intergenic,chr8,S_Shelf
cg01016191,Intergenic,chr12,Open_Sea
cg01017235,Intergenic,*,Open_Sea
cg01019587,Intergenic,chr7,Island
cg01020203,Intergenic,chr3,Open_Sea
cg01021484,Intergenic,chr1,Open_Sea
cg01022189,Intergenic,chr1,N_Shelf
cg01022455,Intergenic,chr14,N_Shore
cg01026503,Intergenic,chr20,N_Shore
cg01028389,Intergenic,chr16,Open_Sea
cg01034811,Intergenic,chr8,S_Shelf
cg01035789,Intergenic,chr16,Island
