cpg,gene,chromosome,f_type,importance
cg02272258,MIR6873,chr6,N_Shore,1.83E-17
cg00828305,AC079305.8,chr2,Island,1.48E-17
cg07329397,ZFYVE27,chr10,Island,1.33E-17
cg01179674,SERINC3,chr20,S_Shore,1.27E-17
cg02519037,TACC2,chr10,Island,1.20E-17
cg20808363,DBNL,chr7,S_Shore,1.20E-17
cg14511376,AL357874.1,chr9,S_Shore,1.16E-17
cg02927098,PPIB,chr15,S_Shore,8.85E-18
cg05647526,CALU,chr7,Island,8.71E-18
cg00000289,ACTN1,chr14,N_Shore,8.70E-18
cg00270594,DDX21,chr10,Island,8.57E-18
cg03544525,C4BPB,chr1,Island,8.16E-18
cg19948037,DCAF4,chr14,Island,7.74E-18
cg07862535,C7orf55-LUC7L2,chr7,N_Shore,7.37E-18
cg00369716,PPRC1,chr10,Island,5.87E-18
cg02065051,ZNF337,chr20,N_Shore,4.98E-18
cg00009970,MEX3C,chr18,Island,4.63E-18
cg00219543,LINC00242,chr6,Island,4.30E-18
cg00187174,ITPR2,chr12,Island,4.21E-18
cg00053728,TRAPPC12,chr2,S_Shelf,3.89E-18
cg00162751,2-Mar,chr1,Island,3.81E-18
cg00261665,NUDT16,chr3,Island,3.59E-18
cg05090106,FAM83G,chr17,Island,3.32E-18
cg00003287,LAD1,chr1,Open_Sea,3.28E-18
cg04010006,AKIP1,chr11,Island,3.22E-18
cg03449513,RP3-437C15.1,chr6,Open_Sea,3.20E-18
cg00034433,CNIH3,chr1,Island,2.63E-18
cg00417059,TNS3,chr7,Open_Sea,2.61E-18
cg01385669,ARMC9,chr2,Open_Sea,2.14E-18
cg00221382,Intergenic,chr16,Island,2.08E-18
cg06624154,AL132709.1,chr14,Open_Sea,1.98E-18
cg10513702,NR5A2,chr1,N_Shore,1.66E-18
cg00000658,MAN1B1,chr9,Island,1.64E-18
cg00000236,VDAC3,chr8,Open_Sea,1.62E-18
cg00000292,ATP2A1,chr16,N_Shore,1.34E-18
cg26393255,CD81,chr11,Island,1.19E-18
cg00016406,KIF26A,chr14,Island,1.03E-18
cg00000924,KCNQ1,chr11,Island,6.78E-19
cg00005306,RP11-146F11.1,chr16,Island,6.70E-19
cg00000029,RBL2,chr16,N_Shore,2.05E-19
